,map_file,richness,speciation,time
573,random_500_0.2_48.tif,1533,True,2513.0
574,random_500_0.2_48.tif,1528,True,2514.0
575,random_500_0.2_48.tif,1532,True,2515.0
576,random_500_0.2_48.tif,1531,True,2516.0
577,random_500_0.2_48.tif,1522,True,2517.0
578,random_500_0.2_48.tif,1510,True,2518.0
579,random_500_0.2_48.tif,1513,True,2519.0
580,random_500_0.2_48.tif,1523,True,2520.0
581,random_500_0.2_48.tif,1519,True,2521.0
582,random_500_0.2_48.tif,1522,True,2522.0
583,random_500_0.2_48.tif,1525,True,2523.0
584,random_500_0.2_48.tif,1513,True,2524.0
585,random_500_0.2_48.tif,1510,True,2525.0
586,random_500_0.2_48.tif,1528,True,2526.0
587,random_500_0.2_48.tif,1540,True,2527.0
588,random_500_0.2_48.tif,1524,True,2528.0
589,random_500_0.2_48.tif,1533,True,2529.0
590,random_500_0.2_48.tif,1530,True,2530.0
591,random_500_0.2_48.tif,1519,True,2531.0
592,random_500_0.2_48.tif,1526,True,2532.0
593,random_500_0.2_48.tif,1527,True,2533.0
594,random_500_0.2_48.tif,1521,True,2534.0
595,random_500_0.2_48.tif,1513,True,2535.0
596,random_500_0.2_48.tif,1520,True,2536.0
597,random_500_0.2_48.tif,1517,True,2537.0
598,random_500_0.2_48.tif,1509,True,2538.0
599,random_500_0.2_48.tif,1517,True,2539.0
600,random_500_0.2_48.tif,1523,True,2540.0
601,random_500_0.2_48.tif,1520,True,2541.0
602,random_500_0.2_48.tif,1526,True,2542.0
603,random_500_0.2_48.tif,1522,True,2543.0
604,random_500_0.2_48.tif,1530,True,2544.0
605,random_500_0.2_48.tif,1514,True,2545.0
606,random_500_0.2_48.tif,1511,True,2546.0
607,random_500_0.2_48.tif,1529,True,2547.0
608,random_500_0.2_48.tif,1531,True,2548.0
609,random_500_0.2_48.tif,1533,True,2549.0
610,random_500_0.2_48.tif,1532,True,2550.0
611,random_500_0.2_48.tif,1527,True,2551.0
612,random_500_0.2_48.tif,1520,True,2552.0
613,random_500_0.2_48.tif,1533,True,2553.0
614,random_500_0.2_48.tif,1525,True,2554.0
615,random_500_0.2_48.tif,1527,True,2555.0
616,random_500_0.2_48.tif,1519,True,2556.0
617,random_500_0.2_48.tif,1513,True,2557.0
618,random_500_0.2_48.tif,1513,True,2558.0
619,random_500_0.2_48.tif,1514,True,2559.0
620,random_500_0.2_48.tif,1530,True,2560.0
621,random_500_0.2_48.tif,1515,True,2561.0
622,random_500_0.2_48.tif,1519,True,2562.0
623,random_500_0.2_48.tif,1526,True,2563.0
